ABN|FundName|USI|ProductName|ContributionRestrictions|From|To
11099645885|DAVID ALEXANDER BAXTER SUPER FUND|11099645885001|David Alexander Baxter Superannuation Fund|N|2013-07-01|9999-12-31
11143409753|J M MURRAY PRIVATE SUPERANNUATION FUND|11143409753001|J M Murray Private Superannuation Fund|N|2013-07-01|2019-06-30
11159983563|WALL JOHN GEORGE SUPERANNUATION FUND|11159983563001|John George Wall Superannuation Fund|N|2013-07-01|9999-12-31
11225861252|BARRY THOMPSON SUPERANNUATION FUND|11225861252001|Barry Thompson Superannuation Fund|N|2013-07-01|9999-12-31
11229183256|C R HALLIGAN PRIVATE SUPERANNUATION FUND|11229183256001|C R Halligan Private Superannuation Fund|N|2013-07-01|9999-12-31
11260931967|The Trustee for LINFOX STAFF SUPERANNUATION FUND|11260931967001|Linfox Staff Superannuation Fund|Y|2013-07-01|9999-12-31
11481871477|The trustee for RF Smith Private Super Fund|11481871477001|Rf Smith Private Super Fund|N|2013-07-01|9999-12-31
11502743249|The Trustee for LUFF & ALLEN SUPERANNUATION FUND|11502743249001|Luff & Allen Superannuation Fund|N|2013-07-01|9999-12-31
11517409039|CHRISTOPHER & DONNA CARR PSF|11517409039001|Christopher & Donna Carr Psf|N|2013-07-01|9999-12-31
11530891824|CORONEOS SUPERANNUATION FUND|11530891824001|Coroneos Superannuation Fund|N|2013-07-01|9999-12-31
11562340193|SMITH SUPERANNUATION FUND|11562340193001|Smith Superannuation Fund 1|N|2013-07-01|9999-12-31
11606384553|ROBERT E ROSS PRIVATE ALLOCATED PENSION|11606384553001|Robert E Ross Private Allocated Pension|N|2013-07-01|9999-12-31
11635839852|SUPER SA FLEXIBLE ROLLOVER PRODUCT|11635839852001|Super SA - Flexible Rollover Product|Y|2013-12-16|9999-12-31
11645457376|L A KNIGHT PRIVATE SUPERANNUATION FUND|11645457376001|L A Knight Private Superannuation Fund|N|2013-07-01|9999-12-31
11678369237|T R SUTTERBY PRIVATE PENSION FUND|11678369237001|T R Sutterby Private Pension Fund|N|2013-07-01|9999-12-31
11789425178|The Trustee for MERCY SUPER|11789425178001|Mercy Super|N|2014-10-15|9999-12-31
11789425178|The Trustee for MERCY SUPER|11789425178799|Mercy Super Pension|Y|2015-07-24|9999-12-31
11874963911|J PERRY PERSONAL SUPER FUND|11874963911001|J Perry Personal Super Fund|N|2013-07-01|9999-12-31
11892583376|The trustee for Julie Smith Personal Super Fund|11892583376001|Julie Smith Personal Super Fund|N|2013-07-01|9999-12-31
11893982031|The Trustee for Anthony Casey Wilson Superannuation Fund|11893982031001|Anthony Casey Wilson Superannuation Fund|N|2013-07-01|2019-06-30
11904748145|JULIE A LANG PRIVATE SUPERANNUATION FUND|11904748145001|Julie A Lang Private Superannuation Fund|N|2013-07-01|9999-12-31
11921257603|CENTA SUPER FUND|11921257603001|Centa Superannuation fund|N|2013-07-01|9999-12-31
11977216987|The trustee for The Olola Superannuation Fund|11977216987001|The Olola Superannuation Fund|N|2013-07-01|9999-12-31
12003353408|ND & J WHAWELL PRIVATE SUPER FUND|12003353408001|Nd & J Whawell Private Super Fund|N|2013-07-01|9999-12-31
12007024409|DR A F HILTON PENSION FUND|12007024409001|DR A F HILTON PENSION FUND|N|2013-07-01|9999-12-31
12007600799|THE UNIVERSITY OF NEW SOUTH WALES PROFESSORIAL SUPERANNUATION FUND|12007600799001|University of New South Wales Professorial Superannuation Fund|Y|2013-11-19|9999-12-31
12121344774|PORTER SUPER FUND|12121344774001|Porter Super Fund|N|2013-07-01|2019-06-30
12197960056|MCEWAN FAWCETT SUPERANNUATION FUND|12197960056001|Mcewan Fawcett Superannuation Fund|N|2013-07-01|9999-12-31
12246195502|S W POWER PRIVATE SUPERANNUATION FUND|12246195502001|S W Power Private Superannuation Fund|N|2013-07-01|9999-12-31
12353816201|T & S DRUMMY PRIVATE SUPER FUND|12353816201001|T & S Drummy Private Super Fund|N|2013-07-01|9999-12-31
